Parent ID,Parent Cycle,Child ID,Child Cycle
2017 26_0075 110,2017,2018 26_0075 110,2018
2017 31_0244 205,2017,2018 31_0244 205,2018
2017 21_0031 1_2,2017,2018 21_0031 1_2,2018
2018 01_0030 372,2018,2019 01_0030 372,2019
2020 24_0038 204,2020,2021 24_0038 204,2021
2020 24_0041 204,2020,2021 24_0041 204,2021
2020_CLASS3_01_10_369,2020,2020_CLASS3_01_10_369_2021,2021
2018 01_0156 372,2018,2019 01_0156 372,2019
2020_CLASS3_01_10_372,2020,2020_CLASS3_01_10_372_2021,2021
2020_CLASS3_01_10_402_S,2020,2020_CLASS3_01_10_402_S_2021,2021
2020_CLASS3_01_10_402_S,2020,2020_710_01_0054_402_S1,2023
2017 25_0150 117_S,2017,2018 25_0150 117_S,2018
2017 23_0093 175,2017,2018 23_0093 175,2018
2017 01_0011 364,2017,2018 01_0011 364,2018
2017 01_0008 364_L8,2017,2018 01_0008 364_L8,2018
2020_CLASS3_01_11_257_S,2020,2020_CLASS3_01_11_257_S_2021,2021
2017 17_0077 310,2017,2018 17_0077 310,2018
2017 05_1002 200,2017,2018 05_0033 200,2018
2017 31_0255 210,2017,2018 31_0255 210,2018
2017 02_0001 200_L1,2017,2018 02_0001 200_L1,2018
2017 24_0013 99_S1,2017,2018 24_0013 99_S1,2018
2017 01_1002 373,2017,2018 01_0139 373,2018
2020_CLASS3_01_11_207,2020,2020_CLASS3_01_11_207_2021,2021
2017 01_0018 364,2017,2018 01_0018 364,2018
2017 27_0228 121,2017,2018 27_0228 121,2018
2004_KY_001_AM00B_2017,2017,2004_KY_001_AM00B_2018,2018
2017 06_0002 275,2017,2018 06_0002 275,2018
2017 31_0241 213,2017,2018 31_0241 213,2018
2017 01_0019 364,2017,2018 01_0019 364,2018
2021_710_27_0001_66_S2,2022,2021_710_27_0001_66_S2,2023
2003_HCA_27_0037_121,2022,2003_HCA_27_0037_121,2023
2017 21_1002 170,2017,2018 21_0080 170,2018
2017 27_0228 252,2017,2018 27_0228 252,2018
2017 27_0208 61,2017,2018 27_0208 61,2018
2016 25_0136 166,2016,2017 25_0136 166,2017
2017 22_0055 73,2017,2018 22_0055 73,2018
2017 24_0100 9,2017,2018 24_0100 9,2018
2017 23_0135 90,2017,2018 23_0135 90,2018
2017 27_1001 128,2017,2018 27_0229 128,2018
2017 11_1001 423-1,2017,2018 11_0092 423-1,2018
2017 31_0251 214,2017,2018 31_0251 214,2018
2017 23_0023 87_L4,2017,2018 23_0023 87_L4,2018
2017 04_0005 333_S,2017,2018 04_0005 333_S,2018
2017 23_0028 5_L2,2017,2018 23_0028 5_L2,2018
2017 02_0002 200_4,2017,2018 02_0002 200_4,2018
2020 24_0103 204,2020,2021 24_0103 204,2021
2017 01_0054 207,2017,2018 01_0054 207,2018
2020 24_0105 204,2020,2021 24_0122 204,2021
2020 24_0104 204,2020,2021 24_0122 204,2021
2017 01_0007 372,2017,2018 01_0007 372,2018
2017 01_0008 364,2017,2018 01_0008 364,2018
2020_MCA_01_004_372,2020,2020_MCA_01_004_372_2021,2021
2017 04_0008 333,2017,2018 04_0008 333,2018
2016 01_0058 207,2016,2017 01_0058 207,2017
2017 25_0145 94,2017,2018 25_0145 94,2018
2020 24_0111 204,2020,2021 24_0111 204,2021
2020 24_0044 204,2020,2021 24_0044 204,2021
2020 24_0117 204,2020,2021 24_0117 204,2021
2020_CLASS3_01_11_260_S,2020,2021_710_01_0050_260_LR1,2023
2020_CLASS3_01_11_260_S,2020,2020_CLASS3_01_11_260_S_2021,2021
2017 26_0026 243_S,2017,2018 26_0026 243_S,2018
2017 31_0240 210_L2,2017,2018 31_0240 210_L2,2018
2020_CLASS3_01_11_369,2020,2020_CLASS3_01_11_369_2021,2021
2020_CLASS3_01_11_370,2020,2020_CLASS3_01_11_370_2021,2021
2017 27_1001 78-5158_L,2017,2018 27_0237 78_L,2018
2020 25_0086 204,2020,2021 25_0086 204,2021
2017 31_0249 208,2017,2018 31_0249 208,2018
2017 05_0031 200,2017,2018 05_0031 200,2018
2020 25_0043 94,2020,2021 25_0043 94,2021
2020_CLASS3_01_12_129,2020,2020_CLASS3_01_12_129_2021,2021
2020 25_0045 94,2020,2021 25_0045 94,2021
2020_CLASS3_01_11_364,2020,2020_CLASS3_01_11_364_2021,2021
2020_CLASS3_01_11_372,2020,2020_CLASS3_01_11_372_2021,2021
2020_CLASS3_01_11_402_S,2020,2020_CLASS3_01_11_402_S_2021,2021
2020_CLASS3_01_11_402_S,2020,2020_710_01_0054_402_S1,2023
2017 25_0011 235,2017,2018 25_0011 235,2018
2017 17_0101 383,2017,2018 17_0101 383,2018
2017 31_0251 208,2017,2018 31_0251 208,2018
2019 23_0024 113,2019,2020 23_0024 113,2020
2020_CLASS3_01_12_257_S,2020,2020_CLASS3_01_12_257_S_2021,2021
2020_CLASS3_01_12_258_L,2020,2020_CLASS3_01_12_258_L_2021,2021
2020_710_21_0018_129_L2,2022,2020_710_21_0018_129_L2,2023
2020_MCA_04_001_332,2020,2020_MCA_04_001_332_2_01_2021,2021
2020_MCA_04_001_332,2020,2020_MCA_04_001_332_2_02_2021,2021
2017 07_0083 388,2017,2018 07_0083 388,2018
2017 27_0041 6_S,2017,2018 27_0041 6_S,2018
2017 24_0100 220,2017,2018 24_0100 220,2018
2017 25_0134 235,2017,2018 25_0134 235,2018
2017 27_0218 205,2017,2018 27_0218 205,2018
2017 31_0184 208_S,2017,2020 31_0184 208_S,2020
2017 21_1003 170_L2,2017,2018 21_0083 170_L2,2018
2018 27_0098 204,2018,2019 27_0098 204,2019
2018 27_0224 204,2018,2019 27_0224 204,2019
2017 07_0052 201,2017,2018 07_0052 201,2018
2017 01_0002 370,2017,2018 01_0002 370,2018
2017 11_0038 294_2,2017,2018 11_0038 294_2,2018
2017 07_0007 378,2017,2018 07_0007 378,2018
2017 01_1002 369,2017,2018 01_0149 369,2018
2017 01_1002 369,2017,2018 01_0150 369,2018
2017 01_1002 369,2017,2018 01_0148 369,2018
2019 27_0085 204,2019,2020 27_0085 204,2020
2017 01_1001 370,2017,2018 01_0151 370,2018
2017 01_1001 370,2017,2018 01_0152 370,2018
2017 01_1001 370,2017,2018 01_0153 370,2018
2019 27_0082 204,2019,2020 27_0082 204,2020
2017 21_0031 1_3,2017,2018 21_0031 1_3,2018
2017 21_0010 221_LR,2017,2018 21_0010 221_LR,2018
2019 27_0080 204,2019,2020 27_0080 204,2020
2020_CLASS3_01_12_369,2020,2020_CLASS3_01_12_369_2021,2021
2017 01_0048 364,2017,2018 01_0048 364,2018
2020_CLASS3_01_12_402_S,2020,2020_CLASS3_01_12_402_S_2021,2021
2020_CLASS3_01_12_402_S,2020,2020_710_01_0054_402_S1,2023
2018 11_0106 298_L,2018,2019 11_0106 298_L,2019
2017 01_0015 259,2017,2018 01_0015 259,2018
2017 27_0107 205,2017,2018 27_0107 205,2018
2017 21_0032 129_L1,2017,2021 21_0032 129_L2,2021
2017 21_0032 129_L1,2017,2021 21_0032 129_L3,2021
2017 27_0007 403_LR,2017,2018 27_0007 403_LR,2018
